role;text;
user;Halo
model;"Halo! What can I do for you today? 
"
user;HGalo
model;"Hi there!  I'm not sure what you mean by HGalo.  Could you please tell me more? 
"
user;Halo
model;"Hello! What can I do for you today? 
"
user;Halo
model;"Hello! 👋  It's nice to hear from you.  What's on your mind? 😄 
"
user;Halo
model;"Hello! 👋  It's great to hear from you.  What can I help you with today? 😄 
"
user;Halo
model;"Hello! 👋  It's nice to hear from you.  How can I help you today? 😄 
"
user;sad
model;"I'm sorry to hear you're feeling sad. 😔  It's okay to feel that way sometimes.  Is there anything I can do to help? 

Would you like to talk about what's making you feel sad, or would you prefer to do something else? 

I'm here to listen without judgment.  We could also try some fun activities, or just have a chat. Whatever you need, I'm here for you. 😊
"
user;Alo
model;"Hello! 👋  What's up? 😊  I'm happy to hear from you.  How can I help you today? 


"
user;Halo
model;"Hello! 👋  It's nice to hear from you.  What can I do for you today? 😄 


"
user;Halo
model;"Hello! 👋  What can I do for you today? 😊  I'm happy to help! 


"
user;Halo
model;"Hello! 👋  It's nice to hear from you. 😄  What's on your mind today?  😊 
"
user;Halo
model;"Hello! 👋  It's great to hear from you. 😊  What can I help you with today? 


"
user;Halo
model;"Hello! 👋  It's nice to hear from you. 😄  What's on your mind today?  😊 


"
user;Halooo
model;"Helloooo! 👋  It's great to hear from you.  What's up? 😄  


"
user;Hi
model;"Hi there! 👋  It's nice to hear from you. 😄  What can I do for you today?  😊 
"
